  9   5    21215    R100000098S1N2009051722 153452P          422142 644                                                                                                          Isovalerate Combined College
  9   5    21213    R100000042R1N2009032324 452454P          246265 212                                                                                                          Hippocentaur Primary College
  9   5    21217    R100000135S1N2009110223 374163P          223424 234                                                                                                          Phyllostoma Combined College
  9   5    21221    R100000231M1N2009061314 263364P          553232 415                                                                                                              Wishram Combined College
  9   5    21214    R100000051A1N2009080624 153281P          636122 314                                                                                                                 Iliac Primary College
  9   5    21217    R100000128G1N2009081412 362282P          212266 254                                                                                                          Phyllostoma Combined College
  9   5    21217    R100000142K1N2009031321 173154P          613644 211                                                                                                          Phyllostoma Combined College
  9   5    21213    R100000035D1N2009080422 251174E                                                                                                                              Hippocentaur Primary College
  9   5    21212    R100000018R1N2009122523 254161P          451225 643                                                                                                           Anticapital Primary College
  9   5    21221    R100000234P1N2009092122 164353P          541351 522                                                                                                              Wishram Combined College
  9   5    21212    R100000011H1N2009102423 163154A                                                                                                                               Anticapital Primary College
  9   5    21216    R100000115D1N2009061812 482283P          262545 553                                                                                                      Ophthalmoplegia Combined College
  9   5    21215    R100000080R1N2009122112 273164P          224355 156                                                                                                          Isovalerate Combined College
  9   5    21221    R100000240R1N2009061621 163374P          435114 335                                                                                                              Wishram Combined College
  9   5    21212    R100000019K1N2009120324 454271P          415621 434                                                                                                           Anticapital Primary College
  9   5    21213    R100000048G1N2009011414 463281S                                                                                                                              Hippocentaur Primary College
  9   5    21214    R100000057K1N2009022812 482452A                                                                                                                                     Iliac Primary College
  9   5    21216    R100000113M1N2009030523 152153P          413166 263                                                                                                      Ophthalmoplegia Combined College
  9   5    21215    R100000094A1N2009012811 483272P          565352 313                                                                                                          Isovalerate Combined College
  9   5    21214    R100000059D1N2009122214 181481P          224342 344                                                                                                                 Iliac Primary College
  9   5    21217    R100000144D1N2009071322 362453P          421611 522                                                                                                          Phyllostoma Combined College
  9   5    21217    R100000133G1N2009022821 382164P          554522 326                                                                                                          Phyllostoma Combined College
  9   5    21214    R100000064D1N2009092524 272184E                                                                                                                                     Iliac Primary College
  9   5    21214    R100000070A1N2009070611 281454A                                                                                                                                     Iliac Primary College
  9   5    21212    R100000000K1N2009101821 381361P          551664 213                                                                                                           Anticapital Primary College
  9   5    21212    R100000012P1N2009090512 464454P          215315 662                                                                                                           Anticapital Primary College
  9   5    21214    R100000061R1N2009020121 472282P          321622 422                                                                                                                 Iliac Primary College
  9   5    21221    R100000248P1N2009071114 471173P          142544 646                                                                                                              Wishram Combined College
  9   5    21214    R100000050P1N2009010422 454364P          424565 441                                                                                                                 Iliac Primary College
  9   5    21212    R100000023R1N2009060923 481173P          562233 514                                                                                                           Anticapital Primary College
  9   5    21213    R100000029G1N2009042123 252163P          665616 356                                                                                                          Hippocentaur Primary College
  9   5    21215    R100000079S1N2009060513 284251P          442564 521                                                                                                          Isovalerate Combined College
  9   5    21221    R100000244S1N2009020312 352363P          453564 146                                                                                                              Wishram Combined College
  9   5    21216    R100000120D1N2009120323 464281X                                                                                                                          Ophthalmoplegia Combined College
  9   5    21216    R100000103R1N2009040624 151362P          641262 411                                                                                                      Ophthalmoplegia Combined College
  9   5    21212    R100000022S1N2009022124 254284P          151613 644                                                                                                           Anticapital Primary College
  9   5    21213    R100000046A1N2009110511 162174P          326145 226                                                                                                          Hippocentaur Primary College
  9   5    21212    R100000003S1N2009020211 273162P          566251 325                                                                                                           Anticapital Primary College
  9   5    21216    R100000102S1N2009071811 453484P          353251 552                                                                                                      Ophthalmoplegia Combined College
  9   5    21213    R100000036S1N2009101612 373251P          612556 366                                                                                                          Hippocentaur Primary College
  9   5    21221    R100000246G1N2009011111 484151P          636224 453                                                                                                              Wishram Combined College
  9   5    21213    R100000049H1N2009020714 151154P          463113 414                                                                                                          Hippocentaur Primary College
  9   5    21214    R100000065A1N2009112323 372183X                                                                                                                                     Iliac Primary College
  9   5    21216    R100000122R1N2009011321 481462P          241324 246                                                                                                      Ophthalmoplegia Combined College
  9   5    21214    R100000073H1N2009102724 284253P          411163 431                                                                                                                 Iliac Primary College
  9   5    21212    R100000014M1N2009110724 282474S                                                                                                                               Anticapital Primary College
  9   5    21215    R100000082E1N2009100522 274484R                                                                                                                              Isovalerate Combined College
  9   5    21212    R100000015E1N2009110814 162184P          436452 662                                                                                                           Anticapital Primary College
  9   5    21221    R100000243D1N2009020724 252164S                                                                                                                                  Wishram Combined College
  9   5    21212    R100000001E1N2009041811 251261P          336522 561                                                                                                           Anticapital Primary College
  9   5    21221    R100000245M1N2009011221 274351P          652161 261                                                                                                              Wishram Combined College
  9   5    21214    R100000058E1N2009040514 174154P          423563 231                                                                                                                 Iliac Primary College
  9   5    21215    R100000075R1N2009120224 363162P          533431 311                                                                                                          Isovalerate Combined College
  9   5    21212    R100000009M1N2009010614 274483P          424421 363                                                                                                           Anticapital Primary College
  9   5    21217    R100000138E1N2009100823 174382P          154215 315                                                                                                          Phyllostoma Combined College
  9   5    21212    R100000010G1N2009101324 372481P          155641 126                                                                                                           Anticapital Primary College
  9   5    21214    R100000074P1N2009052824 461473P          131452 556                                                                                                                 Iliac Primary College
  9   5    21212    R100000005G1N2009070321 254162P          126212 346                                                                                                           Anticapital Primary College
  9   5    21214    R100000060S1N2009111514 152271P          356614 334                                                                                                                 Iliac Primary College
  9   5    21212    R100000006H1N2009011211 173273P          624216 212                                                                                                           Anticapital Primary College
  9   5    21213    R100000028M1N2009031413 354152P          446343 222                                                                                                          Hippocentaur Primary College
